,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
6425,Technique,Prix
6428,Valeur technique : - Compétences et expérience de léquipe (CV pressentie pour la réalisation des prestations (30 - - Méthodologie proposée (30,Prix des prestations
6430,Valeur technique au vu du mémoire technique,Prix
6431,Le prix des prestations au regard de la décomposition du prix global et forfaitaire,Lorganisation des travaux
6433,MONTANT DU BPU ONGLET 2,MONTANT DU BPU ONGLET 1
6434,technique,prix
6438,1-Valeur technique,2-Prix des prestations
6441,Valeur technique de loffre,Compétences et moyens
6442,Prix,Valeur technique (fiches techniques à 10%
6443,Délais,Valeur technique (15 points : Méthodologie
6445,Valeur technique de loffre,Pertinence des moyens et compétences mobilisées pour lexécution du marché
6450,Valuer technique,prix
6452,Qualité de loffre éditoriale,Qualité de lorganisation commerciale
6453,Valeur technique,Prix
6454,Prix analysé sur la base de la DPGF (P1,Prix analysé sur la base du DQE (P2
6458,pour le lot 1 : la méthodologie mise en oeuvre pour ce marché,pour le lot 1 : le prix
6459,lot 1 - valeur artistique : originalité et fonctionnalité du support,lot 1 - prix des prestations
6460,Prix des prestations,Valeur technique
6463,Le prix des prestations,La qualifications des intervenants
6464,Prix des prestations,Valeur technique
6465,Prix des prestations,Valeur technique
6466,valeur technique,prix des prestations
6467,Valeur financière,Valeur technique
6468,Prix des prestations,Valeur technique
6469,prix,valeur technique
6470,Valeur technique (au regard de la qualité de la note méthodologique 70% et des moyens humains dédiés à létude 30%,prix des prestations
6473,Prix,Valeur technique
6474,Prix,Valeur technique
6475,Prix,Valeur technique
6479,La valeur technique de loffre appréciée au regard des notices techniques et selon les sous-critères de larticle 4-2-2 du règlement de la consultation,Le prix des prestations
6480,Prix,Valeur technique
6481,prix,valeur technique
6482,Coût global de la prestation,La valeur technique
6483,1 La qualité du produit,2 Le prix
6484,Prix des prestations,Valeur technique
6488,prix,valeur technique
6490,Prix des prestations,Valeur technique appréciée sur la base des éléments transmis dans la notice technique
6492,Prix,Valeur technique
6493,Prix des prestations,Délai de livraison ou dexécution : Délais proposés au regard du document  stocks  (15 - Délais proposés au regard de lannexe 2 de lacte dengagement (15
6494,prix de la prestation,valeur technique
6495,Valeur technique,Développement durable
6496,Lot 01 : Prix des prestations,Lot 01 : Valeur technique
6498,Prix des prestations (lots 1-2-3,Valeur technique (lots 1-2-3
6499,Valeur technique,Prix des prestations
6502,Prix (sauf pour les lots 3,Valeur technique( sauf lots 3
6504,Prix,Valeur technique
6505,Valeur technique,Prix
6515,Adéquation fonctionnelle,Environnement technique
6517,Prix des prestations,Prix des prestations : Prix de la prestation de loffre sur la durée totale du marché (y compris les tranches
6520,PRIX - 80 points,Valeur technique -: 20 points
6521,Valeur technique : Lorganisation de léquipe de maîtrise doeuvre au regard de la composition (CV des intervenants pressentis pour ce projet de léquipe et des domaines de compétences,Prix des prestations
6524,Valeur technique,Prix des prestations
6525,Valeur technique,Prix
6526,Valeur technique,Prix des prestations
6528,Prix (coût mensuel global de linfogérance,Délais dinterventions à distance et sur site selon le cas
6535,Moyen technique,Montant annuel estimatif
6539,prix des prestations,valeur technique
6541,les qualités techniques et esthétiques des vêtements (les échantillons serviront de base dévaluation,le prix
6542,1. Coût global des prestations,2. Valeur technique
6543,Prix des prestations,Valeur technique : la méthodologie
6544,Prix des prestations : 50 points,Valeur technique : 50 points
6546,Prix des prestations : 50 points,Valeur technique : 50 points
6548,QUALITE - 60%,PRIX - 38%
6550,Délai de retour des résultats,Confidentialité
6551,Ceux décrit dans le règlement de la consultation,Ceux décrit dans le règlement de la consultation
6552,Valeur technique,Prix
6555,Qualité de loffre telle que décrite dans lannexe B - Conditions de livraison- Note sur 55 points,Prix - Note sur 40 points
6556,Lot 1 Montant total estimatif,Lot 1 Valeur technique
6557,Valeur technique,Prix des prestations
6558,Contenu et méthodes pédagogiques appréciés au regard des cadres de réponse  caractéristiques pédagogiques  et  fiche action ,Prix de la prestation apprécié au regard du bordereau de prix valant Détail Quantitatif Estimatif
6559,Valeur technique de loffre,Prix
6560,Contenu et méthodes pédagogiques appréciés au regard des cadres de réponse  caractéristiques pédagogiques  et  fiche action ,Prix de la prestation apprécié au regard du bordereau de prix valant Détail Quantitatif Estimatif.
6561,Prix des prestations,Valeur techniques des prestations
6564,Pertinence des moyens mobilisés pour répondre à lensemble des enjeux de lEPA (aménagement,Valeur technique de loffre (compréhension de la commande
6566,Pour les lots 1,Dont diversité des produits proposés (quantité et variété sur catalogue(s
6568,Description des outils et des moyens utilisés,Présentation de la méthodologie
6572,prix de la prestation,valeur technique
6573,Prix des prestations,Valeur technique
6575,Prix des prestations,Valeur technique
6576,Valeur technique,Prix des prestations
6578,REFERENCES ET MOYENS,PRIX
6579,Le prix,La valeur technique
6580,Valeur technique de loffre,Prix des prestations
6582,Valeur technique,Prix des prestations
6584,1. Prix,2. Valeur technique
6585,Prix des prestations,Valeur technique : au regard du mémoire technique
6586,Prix des prestations,Valeur technique de loffre appréciée à laide du mémoire technique
6589,Prix,Valeur esthétique
6591,Valeur technique,Prix
6593,Valeur technique,Prix
6595,Prix des prestations,Méthode de travail
6599,Dispositif dinsertion,Références du soumissionnaire
6602,Prix des prestations,Valeur technique de loffre
6603,Prix,Valeur technique
6604,Valeur technique,Prix
6606,Valeur technique,Prix des prestations
6607,Valeur technique,Esthétique
6608,Valeur technique au vu des fiches descriptives (qualité des équipements proposés,Prix
6609,Prix,Valeur technique de loffre
6610,Valeur technique jugé sur le mémoire technique,Prix des prestations sur la base du Détail quantitatif estimatif (DQE
6613,Prix,Valeur technique de loffre appréciée à laide du mémoire technique
6614,Valeur technique (10 points : Analyse et compréhension du besoin exprimé - 10 points : Méthodologie - 10 points : Diagnostic et préconisations - 10 points : Stratégie de réalisation et programmation dans le temps des équipements - 10 points : Fiches détaillées par équipements,Prix
6615,Valeur technique,Prix des prestations
6616,Valeur technique,Prix des prestations
6617,Prix,Valeur technique au vu du mémoire technique comprenant :&#8226;le détail de mise en oeuvre &#8226;la fiche suivi de déchets &#8226;le planning prévisionnel
6621,Le prix,La valeur technique
6624,Lots 3 et 16 critère prix,Lots 3 et 16 critère technique
6625,Valeur technique,Prix des prestations
6627,Prix des prestations,Valeur technique (production et commentaires des fiches techniques des produits proposés
6629,Valeur technique,Prix des prestations
6630,Valeur technique,Prix
6631,Valeur technique au regard de la méthodologie de récupération des données (5 points,Coût global de lacquisition du logiciel et la prestation de maintenance
6632,Prix des prestations (notation sur 20,Valeur technique de loffre (mémoire explicatif détaillé (notation sur 20
6633,Critère 1 : Prix des prestations (notation sur 20,Critère 2 : Valeur technique de loffre (mémoire justificatif (notation sur 20
6637,Prix,Valeur technique
6639,Valeur technique,Prix
6641,Le prix annuel forfaitaire,La valeur technique de loffre : lévaluation de ce critère sera jugée en prenant en compte la pertinence et ladéquation des éléments suivants : -le planning de collecte
6647,Valeur technique,Prix des prestations
6651,20 % qualité du projet en termes de niveau datteinte des objectifs du programme pédagogique et technique détaillé,20 % qualité du projet en termes de contenu
6652,lprix des prestations,valeur technique
6653,Références relatives à la mission de base,Références relatives aux mission complémentaires
6654,Prix des prestations,Valeur technique
6656,Valeur technique,Prix
6657,Prix,Mode opératoire planifié comprenant : les délais de préparation de chantier ; les installations de chantiers et de sécurité ; les travaux de dépose
6658,La valeur technique appréciée à partir du mémoire technique,Le caractère esthétique du matériel
6660,1- Prix des prestations,2 - Valeur technique déterminé sur la base des éléments demandés au mémoire technique
6661,Valeur technique (jugée sur la base du mémoire technique,Prix des prestations(jugé sur la base du DQE
6664,Valeur technique,Prix
6665,Prix,Valaur technique
6666,Valeur technique (évaluée sur le mémoire technique,Prix des prestations
6667,1- prix,2- valeurs techniques
6668,Prix des prestations,Valeur technique
6670,Valeur technique (conformité des réponses au CCTP,Prix des prestations
6671,prix,Valeur technique - Moyens humains affectés à la mission
6674,Prix des prestations,Valeur technique
6675,la valeur technique de loffre analysés en fonction des élements du devis et du document de présentation,le prix
6676,Prix des prestations (%,Qualité des produits (%
6678,Valeur technique,Prix des prestations
6679,valeur technique,prix
6680,Prix des prestations,Valeur technique
6685,Valeur technique (VT analysée à partir du mémoire technique remis par le candidat,Prix (P des prestations
6686,Valeur technique de loffre,Prix des prestations
6692,Prix,Valeur technique
6701,Prix des prestations,Valeur technique appréciée au regard du mémoire technique établi par le candidat
6711,Lot 1 : Proposition du nom et design associé,Lot 1 : Note stratégique sur la communication (cohérence
6712,Lot 1 : Prix,Lot 1 : Valeur technique (sur la base du questionnaire technique
6717,Valeur technique et environnementale,Prix des prestations
6719,Valeur technique,Prix
6720,Qualité de loffre,Prix
6726,Valeur technique de loffre,Prix
6729,Prix des prestations,Prix des prestations : Montant total du bordereau
6736,Montant des honoraires,méthodologie proposée
6737,Prix des prestations,Délai dexécution
6740,Coût estimatif des travaux,Valeur technique eu égard au mémoire technique justificatif Cf. règlement de consultation pour détails
6741,Prix,Méthodologie
6742,Valeur technique de loffre,Prix
6757,Avis des utilisateurs,Valeur technique de loffre
6763,Prix,Valeur technique de loffre
6767,Valeur technique de loffre,Prix
6768,Valeur technique de loffre,Prix
6769,Prix,Valeur Technique sur la base du mémoire technique environnemental
6770,Expérience du personnel assigné à lexécution du marché,Valeur technique de loffre
6772,prix,valeur technique
6773,Technique,Prix
6779,Prix,Valeur technique de loffre
6795,Prix,Valeur technique et environnementale de loffre
6798,Prix,Valeur technique de loffre
6799,Prix,Valeur technique
6800,Valeur technique de loffre,Prix
6805,Lot 4 : Prix des prestations,Lot 4 : Valeur technique
6810,Prix,Valeur technique
6812,Prix,Valeur technique de loffre
6813,Prix,Valeur technique
6815,Valeur technique,Prix
6816,Qualité technique de loffre (cf règlement de consultation,Prix (cf règlement de consultation
6821,Valeur technique,Prix
6824,Valeur technique,Prix
6829,Mémoire méthodologique,Prix
6830,Qualité technique,Prix
6833,Prix,Valeur technique
6836,Valeur technique,Prix
6837,Prix,Valeur technique
6838,Prix,Valeur technique et environnementale de loffre
6839,Prix,Valeur technique et environnementale
6840,Note méthodologique,Expérience des intervenants pour la réalisation du marché
6841,Valeur technique (mémoire technique,Prix
6844,Valeur technique du produit,Coût journalier dutilisation
6848,Prix,Délai de remise en état de marche
6849,Valeur technique,Prix
6850,Valeur technique du produit et qualités fonctionnelles,Coût journalier dutilisation
6857,Prix,Adéquation du profil de lintervenant (CV
6865,Prix,Valeur technique
6870,Prix des prestations,Valeur technique
6871,Prix,Valeur Technique - Absence de réserves mineures de 30 points
6873,Prix,Délai dexécution
6875,Prix,Valeut technique de loffre
6877,montant des honoraires,qualité de la prestation
6883,Prix,Valeur technique
6884,Valeur technique,Prix
6885,Pris des prestations,Valeur technique (appréciée sur mémoire technique
6886,Valeur technique - Nombre de salariés attachés à la mission,Valeur technique - Moyens techniques et matériels utilisés
6887,Valeur technique,Prix
6888,Prix des prestations,Valeur technique
6890,Prix le plus bas,valeur technique de loffre
6891,Valeur technique,Prix
6894,Prix des prestations,Valeur technique de loffre
6895,Qualité du ou des intervenants,Prix
6898,Valeur technique,Prix des prestations
6899,Prix,Valeur technique et environnementale
6900,Valeur technique,Valeur économique
6901,Prix,Valeur et technique environnementale
6902,Critère prix au vu du détail estimatif,Valeur technique au regard du mémoire technique
6903,Prix des prestations,La valeur technique de loffre
6904,Valeur technique,Prix des prestations
6905,Prix,Valeur technique
6909,Valeur technique,Prix
6911,Valeur technique,Moyens humains (et expérience affectés à la réalisation de la prestation
6912,Prix Lots N° 2 et 3,Prix Lot 1
6913,Valeur technique,Prix
6915,Valeur technique et environnementale des prestations basée sur un mémoire technique environnemental,Prix
6916,Avis des utilisateurs,Valeur technique de loffre
6917,le prix de la prestation,la valeur technique
6918,Prix - coeff. 4,Valeur technique - coeff. 3
6920,qualité,prix
6921,Prix des prestations,Valeur technique
6923,Valeur technique,Prix
6924,Valeur technique,Prix
6925,Prix,Valeur technique
6926,Valeur technique,Prix
6927,Valeur technique,Prix
6928,prix,valeur technique
6930,Valeur technique et environnementale,Prix
6931,prix,valeur technique
6933,valeur technique,prix
6934,Qualité technique,Prix
6936,qualité,prix
6937,Valeur technique de loffre,Prix des prestations
6938,valeur technique,prix des prestations
6939,Prix 50%,Valeur technique 50 %
6940,Qualité de loffre,Prix
6944,Services liés à la fourniture\xa0: 25 pts,Relation clientèle\xa0: 5 pts
6946,Valeur technique,Service après-vente
6947,prix,valeur technique et délais dexécution des prestations
6951,1.Prix,2. Valeur technique
6952,Prix des prestations de la tranche ferme - coeff 5,Prix total des prestations des trois tranches conditionnelles - coeff 3
6953,Critère technique,Critère économique
6954,Valeur technique,Prix des prestations
6964,Prix,Valeur technique évaluée en fonction du mémoire technique : sous critère 1 les fiches techniques et la durée de garantie 10 % - sous critère 2 : les moyens humains et matériels effectivement mis en oeuvre par le candidat pour la réalisation des travaux : 5 % - sous critère 3 : le planning dintervention : 5 %
6970,Valeur technique et environnementale,Prix
6972,Valeur technique et environnementale,Prix
6974,Valeur technique et environnementale,Prix
6975,critère économique,critère technique
6977,Prix,Valeur technique
6980,Valeur technique attribuée en fonction notamment -du mémoire technique détaillé présentant le matériel proposé et décrivant les différents composants et tout autre renseignement permettant de juger la valeur technique de la fourniture,Prix
6981,valeur technique,prix
6983,Prix,Qualité
6985,Prix,Qualité
6987,Valeur technique et environnementale,Prix
6988,Prix des prestations,Qualité
6995,prix,Valeur technique
6996,Prix des prestations,Valeur technique
7012,Valeur technique,Prix
7014,prix,valeur technique
7029,Valeur technique,Prix des prestations (analyse de la simulation de commande
7030,Prix,Valeur Technique
7033,Valeur technique,Prix des prestations
7043,Valeur technique,Prix
7044,valeur technique,prix
7049,Références et CV des auditeurs proposés,Méthodologie daudit
7054,Valeur technique,Economie de loffre
7056,valeur technique,prix
7062,Prix,Valeur technique
7065,prix,qualité de la prestation
7069,Valeur technique,Prix des prestations
7072,Valeur technique (trame jointe au D.C.E.,Prix des prestations (D.P.G.F.
7076,Prix,Valeur technique et environnementale
7080,Valeur technique,Prix des prestations
7081,Valeur technique,Prix des prestations
7083,Valeur technique,Prix des prestations
7086,Prix,Mode opératoire et moyens matériels et humains mis à disposition pour lexécution des travaux
7087,valeur technique qui sera notamment appréciée en fonction des moyens mis en oeuvre pour respecter le calendrier défini par le maître douvrage et en fonction de la qualité des échantillons,prix
7090,Prix des prestations,Valeur technique
7100,Prix,Technique
7101,Valeur technique,Prix des prestations
7103,- Valeur technique de loffre (fiches techniques,- Prix
7115,Lot 1 : valeur technique,Lot 1 : prix
7119,Valeur technique,Prix
7126,Prix,Facilité daccès
7127,Prix de la prestation,Valeur technique
7128,Prix,Valeur technique de loffre
7129,Lot 1 : Prix des produits,Lot 1 : Délai de livraison hors commande initiale
7130,Prix,Qualité
7133,la méthodologie (35% et le savoir-faire de léquipe de projet (25% au regard notamment des curriculum vitae fournis,coût total de la prestation
7137,Valeur technique,Prix
7138,Prix,Valeur technique
7139,Valeur technique,Valeur économique
7140,Valeur technique de loffre,Prix
7143,Prix des prestations,Valeur technique analysée à partir de 3 pièces comportant les thèmes demandés à lappui de loffre
7145,Prix,Valeur technique
7150,Prix,Valeur technique de loffre
7152,Prix,Valeur technique
7161,Valeur technique appréciée sur la qualité et la diversité du cocktail et du diner ainsi que lorganisation proposée,Prix
7162,1. Valeur technique et organisationnelle : la méthode dorganisation pour lexécution des prestations,2. Prix des prestations : prix forfaitaire annuel et tarifs horaires
7163,Valeur technique de loffre,Prix
7166,Montant des primes,Valeur technique de loffre apparaissant après une analyse comparative technique et financière relative aux montants des garanties et des franchises applicables
7167,Valeur technique (appréciée sur les fiches techniques,Prix des prestations
7169,Qualité de loffre,Coût de la prestation
7186,Prix,Valeur technique de loffre
7190,Valeur technique de loffre (cf détails dans le règlement de la consultation,Coût dacquisition et de maintenance (cf détails dans le règlement de la consultation
7191,Prix des prestations,Valeur technique (appréciée sur la note méthodologique faisant apparaître la qualité des prestations
7193,Valeur technique,Prix
7194,Prix,Valeur technique de loffre
7199,Prix de la prestation,Pertinence de la note technique
7208,Prix des prestations,Valeur technique (appréciée sur note méthodologique
7209,Valeur technique,Prix
7212,valeur technique,Coût de la prestation
7215,Qualité,Prix des prestations
7217,Prix,Valeur technique
7218,valeur technique de loffre,moyens techniques et humains
7222,valeur technique attribuée en fonction notamment du mémoire technique fourni à lappui de loffre \xad: \xadcaractéristiques plus globales du compacteur : volume,Prix
7223,Valeur technique,Prix
7241,Valeur technique,Prix
7243,Valeur technique,Prix des prestations
7247,Qualité technique,Prix
7249,Prix,Valeur technique et environnementale
7250,Prix,Caractéristiques techniques
7251,Prix des prestations,Echantillons
7253,Prix des prestations,Valeur technique et environnementale
7254,Valeur technique,Prix des prestations
7255,Prix,Valeur technique
7256,Valeur technique (appréciée daprès le mémoire justificatif,Prix des prestations
7257,Valeur technique,Prix
7258,Prix des prestations,Valeur technique et environnementale
7271,Valeur technique,Prix des prestations
7281,Prix des prestations,Valeur technique
7286,avis des utilisateurs,valeur technique de loffre
7287,Prix des prestations,Valeur technique
7289,Prix des prestations,Valeur technique de loffre. Sera pris en compte pour la valeur technique de loffre lanalyse du mémoire technique à fournir par le titulaire. Ce mémoire fera état du matériel et des moyens humains qui seront mis en place par lentreprise
7291,Prix,Valeur technique
7292,Prix,Qualité des lieux proposés
7293,Valeur technique,Prix des prestations
7311,Prix,Valeur technique et environnementale
7313,Prix,Valeur technique
7327,Prix des prestations,Valeur technique (appréciée sur mémoire technique et fiches techniques des matériaux proposés
7329,valeur technique de loffre: qualité et faisabilité de la méthodologie proposée,valeur technique de loffre: expérience et qualification du ou des consultants
7335,Prix,Valeur technique
7336,prix,délais de livraison
7339,Prix sur 70 points,Technique sur 30 points
7348,Prix des prestations,Valeur technique
7351,VALEUR TECHNIQUE DE LOFFRE,PRIX
7353,Valeur technique,Prix de loffre
7357,Prix des prestations,Valeur technique sur la base du DART
7361,Prix des prestations,Valeur technique
7363,Qualité de loffre,Prix des prestations
7379,Prix,Valeur technique
7380,technique (sous critère 1 sur 30 points: procédés et moyens dexécutions,Prix
7381,Prix,Technique
7382,Prix,Critère technique 1
7386,Prix,Valeur technique
7387,Prix,Valeur technique
7399,Valeur technique,Prix de loffre
7401,prix ( tous les lots,valeur technique ( sauf lot 2
7403,Valeur technique,Prix
7405,Prix,Valeur technique
7409,Valeur technique,Prix
7413,Valeur technique de loffre (cf règlement de consultation,Coût des prestations de maintenances (cf règlement de consultation
7414,Prix des prestations,Valeur technique et environnementale
7430,Qualité de loffre,Prix des prestations
7434,Prix,Délai (dans le cas où le candidat propose de raccourcir le délai prévu
7440,Valeur Technique et valeur environnementale,Prix des prestations
7443,Prix de loffre,Valeur technique de loffre
7444,1- Prix des prestations,2- Valeur technique
7445,valeur techniques,développement durable
7452,Valeur technique,Prix
7453,Prix de loffre (cf détails dans le règlement de consultation,Qualité de loffre (cf détails dans le règlement de consultation
7454,Prix,Valeur technique
7456,Valeur technique au regard du mémoire,Prix
7459,Prix noté sur 70 points,Technique noté sur 30 points
7463,Valeur technique (note sur 20 points,Prix des prestations (note sur 20 points
7466,Valeur Technique et valeur environnementale,Prix des prestations
7469,Prix,Technique
7471,Prix,Valeur technique et environnementale
7475,Prix,Valeur technique
7476,2/ Valeur technique,1/ Prix des prestations
7477,Valeur technique (sur la base du mémoire technique justificatif - Sur 20 points,Prix des prestations - Sur 20 points
7481,valeur technique : conditions et facilités dutilisation,coût dutilisation
7482,valeur technique : conditions et facilités dutilisation,coût dutilisation
7487,Prix noté sur 70 points,Technique noté sur 30 points
7490,Valeur technique,Prix
7493,qualité,prix
7496,Prix,Valeur technique et environnementale de loffre
7497,valeur technique de loffre,démarche qualité
7499,Prix,Valeur technique et environnementale
7501,Prix,Valeur technique
7502,valeur technique,développement durable
7506,Qualité technique,Prix
7507,La valeur technique des prestations,Le prix des prestations
7508,qualité du dossier technique,prix
7509,- Prix des prestations,- Valeur technique de loffre : voir sous pondération au Règlement de Consultation
7512,PRIX - Coef. 6,Valeur technique - Coef. 3
7520,prix,références
7522,Prix des prestations analysé à partir du détail estimatif,Valeur technique de la prestation appréciée au vu du contenu des éléments du mémoire technique
7523,avis des utilisateurs,valeur technique de loffre
7524,Valeur Technique et valeur environnementale,Prix des prestations
7528,Valeur technique de loffre,Prix des prestations
7535,Délais dexécution,Prix des prestatons
7537,Prix,Technique
7541,Valeur technique,Prix des prestations
7542,Valeur technique,Délai dexécution
7544,Prix,Valeur technique
7546,1- Prix des prestations,2- Valeur technique
7547,Prix des prestations,Valeur technique
7548,valeur technique,développement durable
7550,valeur technique,développement durable
7552,prix,valeur technique
7553,Prix des prestations,Performances en matière de protection de lenvironnement
7554,Prix,Qualité des lieux proposés
7557,- Prix des prestations,- Valeur technique de loffre : voir sous pondération au Règlement de Consultation
7559,Prix des prestations,Valeur technique sur la base du MTE
7561,Prix des prestations,Valeur technique
7562,Lot 1 : Valeur technique (jugée par rapport au mémoire technique et aux fiches techniques,Lot 1 : Prix des prestations (jugé par rapport au DPGF
7565,Valeur technique : 60 points (cf article 6 RC pour la sous-pondération,Prix : 40 points
7566,Prix : 60 points,Valeur technique : 40 points (cf article 6 RC pour les sous-critères
7570,Valeur technique,prix
7572,Valeur technique : 1 - Moyens humains et techniques affectés à lopération (30% ; 2 - Compréhension du projet / Méthodologie / Organisation prévue pour lexécution des prestations / Références (50% ; 3 - Délais dexécution (20%,Coût : 1 - Coûts des prestations (80% ; 2 - Coût lié à lentretien pour les 5 ans à compter de la mise en service du skate park (20%
7579,Valeur technique de loffre appréciée à laide du mémoire techniqueSous critère 1 Méthode pédagogique et contenu des programmes : 45 pointsSous critère 2 Qualité des intervenants : 15 points,Prix
7594,Valeur technique de loffre,Prix
7595,Prix,Qualité technique
7601,Prix,Valeur technique (Qualité de la DPGF
7603,Valeur technique,Prix
7621,Valeur Technique,Prix
7625,valeur technique,prix
7633,Coût,Qualité technique
7634,Coût,La qualité des réponses exprimées dans le programme
7650,Prix,Franchise proposée en cas de sinistre (en euros
7651,prix des prestations,valeur technique au moyen du mémoire technique portant notamment sur les moyens et méthodes proposés (25% ainsi que les qualités et caractéristiques esthétiques et fonctionnelles des fournitures (10%
7655,Valeur techique portant sur le mémoire technique portant sur les fiches techniques des câbles proposés (50 et les moyens techniques et humains ainsi que les certifications (10,Prix des prestations
7656,Prix des prestations sur la base du DQE,valeur technique: moyens matériels
7659,Valeur technique,Prix des prestations
7662,Le tarif de location,Le coût au kilomètre si dépassement du forfait
7675,Valeur technique,Prix des prestations
7687,Prix des prestations,Valeur technique
7690,valeur technique,prix
7691,Valeur technique,Prix des prestations
7693,Prix des prestations : 40 points,Valeur technique : 40 points
7696,Prix,Valeur technique de loffre
7701,Valeur technique attribuée en fonction notamment de lergonomie,Prix
7718,Valeur technique des prestations,Prix des prestations
7723,Prix : pondération 60 points,Valeur technique : pondération 40 points (cf article 6 RC pour la sous-pondération
7724,Prix : pondération 60 points,Valeur technique : pondération 40 points (cf article 6 RC pour la sous-pondération
7728,Prix,Valeur technique
7735,Valeur technique,Prix
7742,Valeur technique,Prix
7747,Prix des prestations : Prix forfaitaires,Prix des prestations
7750,Prix des prestations,Valeur technique des prestations
7752,Valeur technique,Prix
7753,Valeur technique : 50 points (cf article 6 RC pour la sous-pondération,Prix : 40 points (pour les lots 1
7754,Valeur technique de loffre,Prix des prestations
7767,Lot 1 : Valeur technique (jugée par rapport au mémoire technique et aux fiches techniques,Lot 1 : Prix des prestations (jugé par rapport au DPGF
7768,Organisation,Méthode
7771,Valeur technique,Prix
7774,Valeur technique (jugée selon le Mémoire Technique,Prix des prestations (jugés selon le DQE
7776,Valeur technique,Prix des prestations
7777,Prix,Modalités de gestion et daccompagnement proposées
7780,Prix,Mémoire présentant les actions et solutions innovantes pour réduire la consommation de ressources et favoriser léconomie circulaire
7783,Prix,Valeur technique
7788,Prix des prestations (sur la base du montant total du DQE,Valeur technique
7789,Valeur technique de loffre,Prix des prestations
7792,Valeur technique (modalité dorganisation : 30%,Prix
7799,Valeur technique de loffre (mémoire technique(note sur 20,Prix des prestations (note sur 20
7800,Le prix,La valeur technique
7811,Valeur technique Les critères de sélection porterons sur : La composition de l\équipe,Prix des prestations
7813,Valeur technique : 60 points (cf article 6-2 RC pour la sous-pondération,Prix : 35 points
7815,Prix,Limitation des incidences du chantier sur les espaces naturels: 80%
7817,Valeur technique,Prix
7821,- prix : 60 %,- technique : 40 %
7825,Valeur technique de loffre,Prix
7826,Prix : pondération 60 points,Valeur technique : pondération 40 points (cf article 6 RC pour la sous-pondération
7827,Valeur technique : 60 points (cf article 6 RC pour la sous-pondération,Prix : 40 points
7838,Coût,Qualité technique et environnementale
7844,Prix : 60 points,Valeur technique : 40 points (des sous-critères sont décrits à larticle 6.2 du RC
7851,Valeur technique et environnementale,Prix-pondération
7874,la méthodologie (35% et le savoir-faire de léquipe de projet (25% au regard notamment des curriculum vitae fournis,coût total de la prestation
7879,Valeur technique (méthode 30%,Prix
7916,Coût de la location,Caractéristiques techniques des véhicules (appréciées au vu de la fiche technique ou de la documentation des véhicules présentés
7917,Pertinence / Adéquation du projet,Compréhension globale du projet Lille Métropole 2020
7920,valeur technique,prix
7924,Prix des prestations,Valeur technique
7925,Valeur technique de loffre apprécié au regard du mémoire technique,Prix des prestations
7926,Valeur technique appréciée au regard dun mémoire technique propre à chaque lot et au travers des échantillons,Prix des fournitures
7929,Prix des prestations,Qualité technique
7931,Valeur technique,Prix des prestations
7935,Valeur technique jugée au regard du mémoire technique,Prix des pestations jugé au regard du devis descriptif estimatif
7943,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
7946,Valeur technique,Prix des prestations
7947,Valeur technique appréciée au regard dun mémoire technique,Prix
7950,Valeur technique,Prix des prestations
7954,Prix des prestations,Valeur technique
7958,Prix des prestations,Valeur technique
7960,Prix des prestations,Valeur technique jugée au regard du mémoire technique
7961,Valeur technique,Prix
7962,Valeur technique,Prix des prestations
7967,Prix des prestations,Valeur technique
7968,Valeur technique,Prix des prestations
7970,Lot 1 : Prix des prestations,Lot 1 : Qualité des échantillons
7973,Prix,Qualité et originalité des maquettes
7977,Montant forfaitaire de loffre,Coût global calculé de loffre
7978,Prix des prestations,Valeur technique et environnementale
7979,Coût des prestations,Qualité technique du matériel/conformité au CCTP
7981,Valeur technique de loffre,Adéquation qualitative et quantitative de léquipe dédiée à la prestation
7983,Montant de loffre,Valeur technique de loffre
7984,Prix,Valeur technique appréciée sur la base du mémoire justificatif
7986,Moyens et méthodologie,Prix des prestations
7988,Valeur technique,Prix
7991,Prix,Note technique (Détail dans le règlement de la consultation
7992,Prix,Valeur technique et environnementale
7993,Prix,Valeur technique
7994,Valeur technique de loffre,Montant de loffre
7996,Prix des prestations,Valeur technique (appréciée sur mémoire technique
7998,Prix,Qualité technique : adéquation des moyens mis en oeuvre pour lexécution des prestations et de la filière de traitement avec les volumes et les matériaux à traiter
7999,Prix,Nature et étendues des garanties
8000,Coût de la prestation,Délai et conditions de livraison
8004,Qualité de loffre : 60 pts,Prix de loffre\xa0: 40 pts
8005,Valeur technique de loffre,Prix des prestations
8006,Valeur technique,Prix
8007,Coût dacquisition,Qualité de loffre (cf règlement de consultation
8008,Valeur technique,Valeur Prix
8009,valeur technique de loffre - méthodologie: note méthodologique présentée dans loffre et audition,valeur technique de loffre: qualifications et compétences: éléments fournis dans loffre et audition
8010,Prix,Valeur technique
8011,Prix,Valeur technique
8014,Prix,Valeur technique et environnementale
8015,Prix des prestations,Valeur technique de loffre (mémoire technique
8016,Valeur technique,Prix
8017,Valeur technique,Prix
8020,Prix de loffre (60 pts,Valeur technique (40 pts
8022,Prix,Valeur technique de loffre
8023,Prix,Valeur technique et environnementale
8024,Prix,Qualité des exercices dexécution
8026,Valeur technique,Prix
8027,Prix,Valeur technique et environnementale de loffre
